,producto,precio_unitario,link_oferta
38,Cinta Transparente Scotch 12 Mm 20 M 1 Uni . . .,"Precio por 1 Metro : $25,95",https://www.cotodigital3.com.ar/sitios/cdigi/producto/-cinta-transparente-scotch-12-mm-20-m-1-unidad/_/A-00459264-00459264-200
39,Protectores Diarios Esencial Kotex Paq 20 . . .,"Precio por 1 Unidad : $26,62",https://www.cotodigital3.com.ar/sitios/cdigi/producto/-protectores-diarios-esencial-kotex-paq-20-uni/_/A-00527947-00527947-200
40,Bolsa De Residuos Pequeña 45x60 Flowi 20u.,"Precio por 1 Unidad : $26,74",https://www.cotodigital3.com.ar/sitios/cdigi/producto/-bolsa-de-residuos-pequena-45x60-flowi-20u/_/A-00562287-00562287-200
41,"Bolsas Herméticas ZIPLOC 16,5x14,9 Cm 50 U . . .","Precio por 1 Unidad : $26,89",https://www.cotodigital3.com.ar/sitios/cdigi/producto/-bolsas-hermeticas-ziploc-165x149-cm-50-u-para-llevar/_/A-00482394-00482394-200
42,Bolsas De Polietileno TRASH 45 X 60 Cm 30 . . .,"Precio por 1 Unidad : $27,70",https://www.cotodigital3.com.ar/sitios/cdigi/producto/-bolsas-de-polietileno-trash-45-x-60-cm-30-u-multiuso/_/A-00503117-00503117-200
43,Protectores Diarios CAREFREE Protección La . . .,"Precio por 1 Unidad : $27,76",https://www.cotodigital3.com.ar/sitios/cdigi/producto/-protectores-diarios-carefree-proteccion-largos-x-60-un/_/A-00522584-00522584-200
44,Sobre Retrato N1 Medoro 90 Gr X 10 U,"Precio por 1 Unidad : $27,90",https://www.cotodigital3.com.ar/sitios/cdigi/producto/-sobre-retrato-n1-medoro-90-gr-x-10-u/_/A-00524564-00524564-200
45,Protector Diario Kotex Cuidado Diario Mult . . .,"Precio por 1 Unidad : $28,13",https://www.cotodigital3.com.ar/sitios/cdigi/producto/-protector-diario-kotex-cuidado-diario-multiestilo-x100/_/A-00261448-00261448-200
46,Bolsas De Residuos TASK 45 X 60 Cm 20 U. P . . .,"Precio por 1 Unidad : $28,71",https://www.cotodigital3.com.ar/sitios/cdigi/producto/-bolsas-de-residuos-task-45-x-60-cm-20-u-pequena-multiuso/_/A-00268585-00268585-200
47,Bolsas De Residuos ASURIN 45 X 60 Cm 30 U. . . .,"Precio por 1 Unidad : $29,28",https://www.cotodigital3.com.ar/sitios/cdigi/producto/-bolsas-de-residuos-asurin-45-x-60-cm-30-u-fuertes/_/A-00002380-00002380-200
48,Sobre Papel Manila Medoro 300x400mm X 10,"Precio por 1 Unidad : $29,45",https://www.cotodigital3.com.ar/sitios/cdigi/producto/-sobre-papel-manila-medoro-300x400mm-x-10/_/A-00524672-00524672-200
49,Bolsas De Residuos ASURIN 45 X 60 Cm 30 U. . . .,"Precio por 1 Unidad : $29,72",https://www.cotodigital3.com.ar/sitios/cdigi/producto/-bolsas-de-residuos-asurin-45-x-60-cm-30-u-fuertes/_/A-00002392-00002392-200
50,Bolsas De Residuos ASURIN 45 X 60 Cm 30 U. . . .,"Precio por 1 Unidad : $30,78",https://www.cotodigital3.com.ar/sitios/cdigi/producto/-bolsas-de-residuos-asurin-45-x-60-cm-30-u-fuertes/_/A-00502019-00502019-200
51,Bolsa Freezer 20x30 SEPARATA Bol 20 Uni,"Precio por 1 Unidad : $30,79",https://www.cotodigital3.com.ar/sitios/cdigi/producto/-bolsa-freezer-20x30-separata-bol-20-uni/_/A-00046612-00046612-200
52,Bolsa Hermetica Multiuso Extra Chica Separ . . .,"Precio por 1 Unidad : $30,80",https://www.cotodigital3.com.ar/sitios/cdigi/producto/-bolsa-hermetica-multiuso-extra-chica-separata-20u-/_/A-00562923-00562923-200
53,Folio A4 Luma 30-10 10 Unidades,"Precio por 1 Unidad : $30,90",https://www.cotodigital3.com.ar/sitios/cdigi/producto/-folio-a4-luma-30-10-10-unidades/_/A-00166251-00166251-200
